"gauge_id","gauge_name","institution","gauge_lat","gauge_lon","gauge_alt","length","n_outliers","n_changepoints"
"X12585003","Leadura Alta","DGA",-53.2325,-71.1178,402,2226,0,0
"X12809001","Porvenir","DGA",-53.2908,-70.37,41,11126,1,1
"X12815001","Onaisin En Maria Cristina","DGA",-53.3056,-69.2675,33,11147,0,1
"X12863001","San Sebastian","DGA",-53.3217,-68.6614,17,10694,5,0
"X12582003","Lago Parrillar","DGA",-53.4025,-71.2497,324,10487,2,0
"X12816001","Cameron","DGA",-53.6369,-69.6506,9,9743,3,0
"X12582002","San Juan","DGA",-53.6514,-70.9578,14,5627,1,2
"X12873001","Russfin","DGA",-53.7594,-69.1892,222,9410,0,1
"X00087934","Rio_Grande_Aero","SMN",-53.8,-67.75,6,19903,6,2
"X12820001","Rio Caleta En Tierra Del Fuego","DGA",-53.8586,-69.9989,262,4559,1,1
"X12820002","Puerto Yartou","DGA",-53.8853,-70.1408,8,2377,0,0
"X12876001","Rio Grande En Tierra Del Fuego","DGA",-53.8928,-68.8844,96,4679,1,0
"X12876002","Seccion Rio Grande","DGA",-53.8967,-68.9183,130,7468,2,0
"X12821000","Rio Condor","DGA",-53.9964,-70.0781,8,3073,0,0
"X12876003","Pampa Huanaco","DGA",-54.0497,-68.7997,154,9777,12,0
"X12875000","Lago Blanco","DGA",-54.0533,-68.9578,126,4142,0,0
"X12879000","Lago Deseado","DGA",-54.3378,-68.8242,619,3637,1,0
"X12825002","Rio Azopardo En Desembocadura","DGA",-54.5028,-68.8244,27,2930,0,0
"X00087938","Ushuaia_Aero","SMN",-54.8,-68.317,94,21460,9,1
"X12930004","Puerto Navarino","DGA",-54.9256,-68.3236,7,3704,0,0
"X00550001","Guardia Marina Zanartu Pto Williams Ad.","DMC",-54.9317,-67.6156,13,21350,8,2
"X12930001","Rio Robalo En Puerto Williams","DGA",-54.9469,-67.6392,62,4803,0,0
"X12930003","Robalo Alto","DGA",-54.9769,-67.6744,312,3405,0,0
